stimulus,starting_erb,starting_bin
kou,1.590895088554859,2
kuit,2.7921092854264105,5
puist,3.0844481080332313,5
tijd,2.692917892121155,4
oog,2.400386587683812,4
sjeik,1.0302225514000296,1
peuk,2.0229138970268594,3
gaap,1.4131381100121543,2
haak,1.2434494733847186,1
pauw,2.3674951292747597,4
haas,2.3025846828438086,4
staaf,3.148427914504889,5
steeg,0.8230769499072843,1
cake,2.0006936316418336,3
kous,1.9409917111559136,3
haast,1.1594049264939041,1
heup,2.5844870625572005,4
geest,2.0208757030343785,3
goud,1.353707500356563,2
ijs,1.942961742205246,3
kei,2.798781109717686,5
spaak,2.453064712991314,4
huis,1.7518642257030452,2
geit,0.851738415842872,1
schaaf,1.7020106428799995,2
poos,2.947694447511671,5
keu,0.9054605097407296,1
goot,2.128272609965201,3
tape,1.1323288188837761,1
haag,1.371750886645123,2
feest,2.337465518196655,4
fee,1.8578654470179936,3
stoot,1.9866805472389124,3
scheut,1.0714790453907936,1
hoofd,3.1924758661817685,5
pijp,2.3510438167319125,4
teek,2.7509955077028363,5
aas,2.7992446957981247,5
toast,1.000072110279103,1
aap,0.844255061567911,1
touw,1.904128245809687,3
hei,2.287737276299341,4
cape,2.8404925077621312,5
hout,3.0390938344110228,5
paus,2.5874327202297533,4
staat,1.5627819531090617,2
feit,2.8972425639332324,5
thee,1.7169811861152546,2
kaas,2.3208126089642773,4
keus,1.3895067358666804,2
spijs,2.169156689752341,3
kuif,1.0743063290853558,1
pook,1.4102160212692745,2
pees,1.0381166452185038,1
steek,1.540818908912742,2
schaap,2.318099517788004,4
spook,2.0240026706064547,3
spuit,2.7682159747853614,5
kaak,1.4894739248223057,2
hoop,2.7207049115756177,5
schijf,1.50230258992741,2
saus,1.0320210295344623,1
taak,2.536508608968077,4
schoot,2.912119381806549,5
eik,1.5553820560650862,2
poot,2.091064969397367,3
schaats,1.9509426883787122,3
gaas,1.2366256123562493,1
huid,1.9618032265364087,3
kuip,2.3079663863365725,4
