item,category,hz,shift
aap,1,147.48750881083402,0.8949065147248342
aap,2,203.90758328708975,1.237245283730828
aap,3,259.795074975264,1.5763525125845252
aas,1,145.24520349706734,0.8941131759567471
aas,2,201.26094405381932,1.2389397897579935
aas,3,256.7479185719034,1.5805113791536942
auk,1,143.7500477430085,0.8935737188779059
auk,2,199.49618086379039,1.2401007654278615
auk,3,254.71609293155467,1.583356736171725
cake,1,152.26066168490857,0.8965250793471123
cake,2,209.54143412148036,1.233799648401815
cake,3,266.2814991277461,1.567890481312891
cape,1,146.71553768307706,0.8946374353831339
cape,2,202.99640983487092,1.237825184398313
cape,3,258.74601321248264,1.5777733792317112
eeg,1,144.5778485307377,0.8938742543847548
eeg,2,200.4732512157559,1.2394559732051444
eeg,3,255.84102380316668,1.5817755397326152
eik,1,145.5560549879553,0.8942261929833875
eik,2,201.62784848313754,1.238704246026915
eik,3,257.17034682248027,1.5799305649381177
fee,1,142.65188973590878,0.893169308846047
fee,2,198.20000230680438,1.2409660986712594
fee,3,253.22376305894934,1.5854798268250652
feep,1,149.75126443185314,0.8956848829885936
feep,2,206.57954076065124,1.235583368835209
feep,3,262.8713810402238,1.5722733498200834
feest,1,146.2813526304308,0.8944847954665281
feest,2,202.48393225754108,1.2381537049922449
feest,3,258.15598216038126,1.5785785183746783
fei,1,137.56148599937646,0.89121836161619
fei,2,192.19169373277657,1.2451505969159282
fei,3,246.30621429953953,1.595741854409139
feit,1,135.75263505296212,0.890488049381204
feit,2,190.05666963390556,1.246702820524673
feit,3,243.8480959914522,1.5995550676422083
feu,1,144.0301110483432,0.8936777615819371
feu,2,199.8267453623657,1.2398846130147239
feu,3,255.0966819124385,1.5828234111544128
fijk,1,144.51717343600956,0.8938534426907054
fijk,2,200.40163514937817,1.2395045325075833
fijk,3,255.7585700435068,1.5818928151972644
fuik,1,149.20682661639117,0.8955012662063302
fuik,2,205.93692957223234,1.2359808553847946
fuik,3,262.1315231959636,1.5732464543200202
fuit,1,150.62640421425309,0.8959826293685403
fuit,2,207.61248630489771,1.2349573259719386
fuit,3,264.06064272345816,1.5707322379121296
gaak,1,143.01038265087405,0.8933021216256439
gaak,2,198.62313889207286,1.2406824461786672
gaak,3,253.7109331042992,1.5847836403247824
gaap,1,146.73381224570326,0.8946456104319868
gaap,2,203.01797967824612,1.237813845208208
gaap,3,258.7708472304834,1.5777427100092083
gaas,1,142.74233836648864,0.8932034609982296
gaas,2,198.30676069194428,1.2408952173294114
gaas,3,253.34667724113262,1.5853049034630835
gaus,1,142.05868890572654,0.8929469987225381
gaus,2,197.49983512585453,1.2414368060292493
gaus,3,252.41763924651804,1.5866370098585407
geest,1,149.75391698673616,0.8956863130456177
geest,2,206.58267162591687,1.235582181827802
geest,3,262.8749857008146,1.5722695704522802
geet,1,145.44422239908053,0.8941862797711196
geet,2,201.49585017075032,1.2387898376542263
geet,3,257.0183731428917,1.5801404766898506
geit,1,152.80938711865858,0.8967025867144658
geit,2,210.18910607424246,1.2334131997376534
geit,3,267.027183584217,1.5669454001351006
geut,1,143.11209693202144,0.8933425636921026
geut,2,198.7431943570516,1.2406062001007567
geut,3,253.84915661971814,1.5845918075916066
gijk,1,145.10940809459632,0.8940653912715519
gijk,2,201.10066193805622,1.2390453821120075
gijk,3,256.56338088756314,1.5807689007294168
goop,1,148.262712025759,0.89517996268507
goop,2,204.82257163848925,1.2366768389111038
goop,3,260.84852894772786,1.5749501221137336
goot,1,151.259570146885,0.8961964633551304
goot,2,208.3598251209748,1.2345092492156373
goot,3,264.9210766769272,1.569628498583862
goud,1,144.04990045783344,0.893684215390774
goud,2,199.85010321075444,1.239868143719747
goud,3,255.12357451509914,1.5827842351404928
guik,1,145.5376354333626,0.8942217276397577
guik,2,201.6061075027523,1.2387212504657124
guik,3,257.1453157692247,1.5799688364932392
guis,1,144.67427927025895,0.8939085806039005
guis,2,200.58707040752398,1.239380657708553
guis,3,255.97206730719304,1.5815916174939413
haaf,1,147.36372507231033,0.8948632275361099
haaf,2,203.76147878615214,1.2373374415218834
haaf,3,259.6268604109232,1.576578836809282
haag,1,142.07770770587084,0.8929600722019293
haag,2,197.52228340813033,1.241429885811184
haag,3,252.4434846379945,1.5866102846754717
haak,1,140.40677893494342,0.8923219289406795
haak,2,195.55005169910032,1.2427718993357244
haak,3,250.17279416929188,1.5899137631029658
haap,1,149.785835676383,0.8956972498725189
haap,2,206.62034591397003,1.2355592554338681
haap,3,262.9183612567423,1.572213100492682
haas,1,149.06486165153805,0.8954505862236771
haas,2,205.76936539467656,1.2360813730888804
haas,3,261.93860145196675,1.573496742465555
haast,1,139.24042209714798,0.8918735216335059
haast,2,194.17337665491695,1.243734331140304
haast,3,248.58778623791392,1.5922737162660945
hauk,1,145.53823505525747,0.8942187353207586
hauk,2,201.6068152488485,1.2387163503489156
hauk,3,257.1461306188731,1.5799620465874866
heeg,1,144.7708689843533,0.8939440015181254
heeg,2,200.70107724026138,1.2393068119011474
heeg,3,256.1033268479855,1.5814095363987648
hei,1,144.23770087871137,0.8937494894911785
hei,2,200.07176792290068,1.239717766945368
hei,3,255.37878385323808,1.5824202431487668
heuf,1,139.39272794898102,0.8919328801594358
heuf,2,194.35314639476596,1.2436083587902784
heuf,3,248.79476061773306,1.591964162488967
heuk,1,147.377819936159,0.8948688083779774
heuk,2,203.7781152448094,1.2373278369949088
heuk,3,259.6460144727574,1.576554190257233
heup,1,149.6472553153668,0.8956504318708501
heup,2,206.45677665416653,1.235659824052782
heup,3,262.7300389832954,1.5724596644618187
hoofd,1,141.9676462521861,0.8929134359934882
hoofd,2,197.39237560315635,1.2415103651548878
hoofd,3,252.29391782329733,1.5868166796516865
hook,1,148.1142497945416,0.8951236396459559
hook,2,204.6473386033685,1.236779518706757
hook,3,260.64677781431453,1.5752103038214096
hoop,1,148.47786746440826,0.8952508671626245
hoop,2,205.07652404259966,1.2365138260612736
hoop,3,261.1409120895653,1.5745554000219135
hoot,1,137.91806113730223,0.891355930472251
hoot,2,192.61256672623077,1.244843149759684
hoot,3,246.79077820265246,1.5949935920125793
hout,1,149.6974656359673,0.8956671516643288
hout,2,206.51604093169396,1.2356230171864864
hout,3,262.79827175204144,1.5723698362058662
hui,1,139.43961632651843,0.8919531033588293
hui,2,194.40848971434554,1.243572381280541
hui,3,248.85847906810602,1.591872514782167
huid,1,148.6316718594816,0.8953026322031643
huid,2,205.25806254395877,1.2363992235131747
huid,3,261.3499228984125,1.574276000328231
huik,1,146.99632373497798,0.8947346388163777
huik,2,203.32782740613277,1.2376122449398088
huik,3,259.1275843619472,1.5772532245054924
huis,1,142.0426879391581,0.892942413504628
huis,2,197.48094885482345,1.2414515498829641
huis,3,252.39589490713675,1.5866709003252262
ijf,1,140.2419932713867,0.8922602442561431
ijf,2,195.35555177994473,1.242908691483429
ijf,3,249.9488604851472,1.5902471585415232
ijs,1,148.55236414756834,0.8952769086966471
ijs,2,205.1644540150211,1.236459609505381
ijs,3,261.2421485464058,1.5744216829801625
kaaf,1,134.36394861843678,0.8899201166446483
kaaf,2,188.41757437878587,1.2479284175045675
kaaf,3,241.96095567418865,1.6025572641401116
kaak,1,142.877298181462,0.8932551698154373
kaak,2,198.46605654654098,1.2407907575206543
kaak,3,253.53007941293652,1.5850457491973169
kaap,1,143.59428867139238,0.8935151315601337
kaap,2,199.3123352173718,1.2402205482618698
kaap,3,254.50442583629217,1.5836532054150942
kaas,1,145.65746919262926,0.8942645138501312
kaas,2,201.7475497616625,1.2386297490139138
kaas,3,257.30816255224136,1.5797443150007342
kauk,1,142.1206284899306,0.8929720471425012
kauk,2,197.57294369525428,1.2413899225334584
kauk,3,252.50181137038993,1.5865188734553204
kaup,1,144.06665545535884,0.8936914730871336
kaup,2,199.8698794800839,1.239856693096153
kaup,3,255.1463435366433,1.5827542527959537
kei,1,140.33931114766565,0.8922992870249693
kei,2,195.47041807753462,1.2428314864787477
kei,3,250.08110955401602,1.590054803095515
keu,1,146.78289419201607,0.8946620900947296
keu,2,203.07591211231713,1.2377758387883155
keu,3,258.8375466072712,1.5776507318333628
keuf,1,149.4261157983304,0.8955782749084517
keuf,2,206.19576111885038,1.2358244276755708
keuf,3,262.4295238432578,1.5728587937451914
keup,1,145.23724320253825,0.8941149028945282
keup,2,201.25154835392087,1.2389522456227304
keup,3,256.7371010162843,1.5805344626686357
keus,1,147.18898591818842,0.8948033538275142
keus,2,203.5552305566858,1.2374696507012741
keus,3,259.3894005390979,1.5769013156915288
kou,1,139.3770493681855,0.8919299578310338
kou,2,194.33464064231532,1.2436257520083125
kou,3,248.77345438098945,1.5920016794828578
kous,1,141.45231952097896,0.892721983209311
kous,2,196.78412482820954,1.241927419611479
kous,3,251.59362017017216,1.587836497285681
kui,1,143.6166381420725,0.8935260220099283
kui,2,199.33871475881153,1.240206783386848
kui,3,254.53479740624593,1.5836150179515955
kuif,1,142.18591818915237,0.8929970333448867
kuif,2,197.65000647454127,1.2413386056104434
kuif,3,252.59053609660603,1.586391973677688
kuig,1,143.20432751141925,0.89337660924831
kuig,2,198.852056013153,1.2405335692730353
kuig,3,253.97449236185466,1.5844135073620713
kuip,1,149.1519573771245,0.895485313277388
kuip,2,205.87216627686325,1.2360246862023825
kuip,3,262.0569592403985,1.5733495045496408
kuit,1,144.62542577957228,0.8938921198046977
kuit,2,200.52940762434292,1.2394200832826363
kuit,3,255.905678387692,1.5816864018964463
oog,1,143.22242322459402,0.8933806098142668
oog,2,198.87341475683,1.240515615859187
oog,3,253.99908333433973,1.5843738072051492
oos,1,146.23707851440037,0.8944678741910704
oos,2,202.43167460476508,1.2381854964015326
oos,3,258.0958163322325,1.5786585626405805
paaf,1,146.35996338700446,0.894513555136242
paaf,2,202.5767181557091,1.2380955566799874
paaf,3,258.26280939251404,1.57843428245681
paak,1,148.59516284942833,0.8952898641312981
paak,2,205.21497020600563,1.2364257306249857
paak,3,261.30030937652447,1.5743414118817982
paus,1,144.7535558635425,0.8939391607369299
paus,2,200.6806422065007,1.239322127874649
paus,3,256.0797993708765,1.5814448188553154
pauw,1,144.4042310180475,0.8938133296065531
pauw,2,200.2683268828171,1.2395931809192817
pauw,3,255.60508817375828,1.5821090096481338
peeg,1,148.0960358568191,0.895119076078799
peeg,2,204.62584031681817,1.23679538123035
peeg,3,260.622026181867,1.575246399621679
pees,1,144.7582303970471,0.8939410757127451
pees,2,200.68615965485824,1.2393188349322573
pees,3,256.08615177731014,1.581436367155368
peug,1,145.74009080637532,0.8942922884518654
peug,2,201.84506975731782,1.2385644083741845
peug,3,257.42044029507883,1.5795867380899318
peuk,1,139.57857133275752,0.8920065823444974
peuk,2,194.57250117563675,1.2434570015631607
peuk,3,249.04731046160128,1.5915898703199107
peup,1,142.31533012556645,0.8930441446819568
peup,2,197.80275405359043,1.2412337529180224
peup,3,252.7663990392189,1.5861365914350332
peus,1,148.26630917174347,0.8951792954315722
peus,2,204.82681742412424,1.236671548185829
peus,3,260.8534172501161,1.5749402515603939
pijp,1,145.90897679259632,0.8943514218737717
pijp,2,202.0444093719269,1.2384344594526564
pijp,3,257.6499460680848,1.5792694916861663
pijs,1,147.34184945345535,0.8948558833189484
pijs,2,203.73565854179992,1.2373541757773459
pijs,3,259.59713277675036,1.5766194222462808
poof,1,143.4428061619251,0.8934621338115509
poof,2,199.13353728550737,1.2403429624467106
poof,3,254.2985703286205,1.5839493757153278
pook,1,149.99956976575,0.8957706587721165
pook,2,206.8726206701921,1.2354063680918956
pook,3,263.20881287144095,1.5718360530545519
poos,1,143.47187330852,0.8934707610692009
poos,2,199.16784583845285,1.240317301908598
poos,3,254.33807081115089,1.5838897510444407
poot,1,149.14971853912567,0.8954839790462255
poot,2,205.86952373017346,1.2360255324644596
poot,3,262.05391679586506,1.5733525107219781
puip,1,149.18499994352814,0.8954942450526238
puip,2,205.91116709984442,1.2359973536198605
puip,3,262.10186207641385,1.5732862499302982
puist,1,150.97062228008406,0.8960969467998021
puist,2,208.01877399116213,1.2347103392386884
puist,3,264.52841411792866,1.570127357580218
saas,1,145.01769450152358,0.8940341166288621
saas,2,200.99241049158275,1.2391182522975492
saas,3,256.4387476983668,1.5809449326579406
sauk,1,147.6386817185316,0.8949622303039015
sauk,2,204.0860157895967,1.237137000539667
sauk,3,260.0005097529802,1.5760817787055
saus,1,144.6583062080897,0.8939052498548663
saus,2,200.568217072631,1.2393963879084111
saus,3,255.9503608881913,1.5816262287150087
schaaf,1,138.9001218113519,0.8917425699562704
schaaf,2,193.77171320527376,1.2440196831013737
schaaf,3,248.12533886798505,1.592971442126728
schaap,1,139.5797078462551,0.8920064892514542
schaap,2,194.57384262597063,1.243455319824368
schaap,3,249.04885491425034,1.5915866149315454
schaas,1,139.02532185602607,0.8917919257425226
schaas,2,193.91948940158704,1.2439160908509854
schaas,3,248.2954781061554,1.5927163456075888
schaats,1,139.4907968840737,0.8919696610716322
schaats,2,194.4688991825723,1.2435254652463543
schaats,3,248.92803032980288,1.5917627241676056
schauts,1,140.78940621152168,0.8924689101585397
schauts,2,196.001674569409,1.2424613868276544
schauts,3,250.69276134270402,1.589150075425549
scheuk,1,148.4181176039635,0.8952326149062977
scheuk,2,205.00600004933952,1.236561010599623
scheuk,3,261.0597156669657,1.5746674036579418
scheut,1,146.15518813572078,0.8944392838756341
scheut,2,202.3350177009482,1.2382481295658412
scheut,3,257.9845322933306,1.578811558171712
schijf,1,139.58305823060542,0.8920073980244468
schijf,2,194.5777971537567,1.2434520116739696
schijf,3,249.05340788260128,1.5915791296638138
schijp,1,146.1759098935639,0.894445207538144
schijp,2,202.3594760193373,1.2382304557380124
